match_title,match_id,team1_name,team2_name,team1_side,team2_side,team1_pick,team2_pick,winner,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
The International 11 Playoff,Game 2: 6815355000,Shopify Rebellion,beastcoast,The Dire,The Radiant,1st Pick,,bc,Clockwerk,Primal Beast,Tiny,Shadow Fiend,Crystal Maiden,Nyx Assassin,Leshrac,Beastmaster,Chaos Knight,Invoker,Tidehunter,Hoodwink,Enchantress,Puck,Chen,Mirana,Ember Spirit,Naga Siren,Timbersaw,Pudge,Enigma,Alchemist,Lifestealer,Brewmaster
The International 11 Playoff,Game 1: 6815213517,Team Liquid,Team Aster,The Dire,The Radiant,1st Pick,,Aster,Primal Beast,Nyx Assassin,Visage,Enigma,Marci,Sven,Leshrac,Shadow Fiend,Drow Ranger,Pudge,Broodmother,Lone Druid,Tiny,Undying,Crystal Maiden,Death Prophet,Disruptor,Sniper,Beastmaster,Naga Siren,Brewmaster,Morphling,Mars,Pangolier
The International 11 Playoff,Game 2: 6815257918,Team Liquid,Team Aster,The Dire,The Radiant,1st Pick,,Aster,Primal Beast,Enigma,Sven,Nyx Assassin,Marci,Lich,Leshrac,Shadow Fiend,Sniper,Shadow Demon,Drow Ranger,Pudge,Broodmother,Lone Druid,Snapfire,Crystal Maiden,Beastmaster,Terrorblade,Mars,Naga Siren,Pangolier,Lifestealer,Ursa,Brewmaster
The International 11 Playoff,Game 1: 6815136578,OG,Tundra Esports,The Dire,The Radiant,1st Pick,,Tundra,Doom,Pangolier,Hoodwink,Templar Assassin,Crystal Maiden,Mirana,Tiny,Ember Spirit,Ursa,Razor,Lifestealer,Timbersaw,Tidehunter,Mars,Tusk,Oracle,Sand King,Slark,Beastmaster,Shadow Fiend,Enigma,Naga Siren,Morphling,Visage
The International 11 Playoff,Game 2: 6815171709,OG,Tundra Esports,The Radiant,The Dire,,1st Pick,Tundra,Pangolier,Undying,Templar Assassin,Doom,Mirana,Oracle,Primal Beast,Visage,Monkey King,Tusk,Sniper,Tiny,Naga Siren,Luna,Marci,Earthshaker,Spirit Breaker,Phantom Lancer,Viper,Slark,Razor,Troll Warlord,Lifestealer,Timbersaw
The International 11 Playoff,Game 1: 6814073054,Knights,Entity,The Radiant,The Dire,,1st Pick,Entity,Marci,Broodmother,Enigma,Nyx Assassin,Tiny,Leshrac,Lich,Ancient Apparition,Naga Siren,Morphling,Tidehunter,Arc Warden,Lone Druid,Batrider,Earthshaker,Visage,Lycan,Terrorblade,Primal Beast,Pudge,Beastmaster,Drow Ranger,Brewmaster,Underlord
The International 11 Playoff,Game 1: 6814001211,Fnatic,Gaimin Gladiators,The Radiant,The Dire,1st Pick,,GG,Enchantress,Marci,Broodmother,Enigma,Undying,Primal Beast,Silencer,Sniper,Beastmaster,Monkey King,Lycan,Disruptor,Bloodseeker,Slark,Snapfire,Clockwerk,Templar Assassin,Morphling,Brewmaster,Ancient Apparition,Batrider,Tidehunter,Visage,Storm Spirit
The International 11 Playoff,Game 1: 6813943972,Team Spirit,BOOM Esports,The Dire,The Radiant,,1st Pick,BOOM,Doom,Enigma,Primal Beast,Undying,Marci,Nyx Assassin,Leshrac,Shadow Fiend,Morphling,Kunkka,Dawnbreaker,Ember Spirit,Terrorblade,Drow Ranger,Lich,Mars,Disruptor,Lifestealer,Magnus,Razor,Tidehunter,Faceless Void,Beastmaster,Outworld Destroyer
The International 11 Playoff,Game 1: 6813896391,Ukumari,beastcoast,The Dire,The Radiant,1st Pick,,bc,Leshrac,Undying,Silencer,Marci,Enigma,Crystal Maiden,Tiny,Shadow Fiend,Visage,Pangolier,Naga Siren,Nyx Assassin,Broodmother,Zeus,Clockwerk,Tusk,Ogre Magi,Phantom Lancer,Snapfire,Pudge,Viper,Puck,Ember Spirit,Batrider
The International 11 Playoff,Game 1: 6813815540,PSG.LGD,Team Secret,The Radiant,The Dire,1st Pick,,Secret,Chen,Marci,Enchantress,Primal Beast,Enigma,Nyx Assassin,Leshrac,Pangolier,Bloodseeker,Lifestealer,Kunkka,Undying,Monkey King,Tiny,Silencer,Tusk,Dazzle,Dawnbreaker,Broodmother,Chaos Knight,Ember Spirit,Ursa,Lone Druid,Crystal Maiden
The International 11 Playoff,Game 2: 6813846659,PSG.LGD,Team Secret,The Dire,The Radiant,,1st Pick,Secret,Enigma,Chen,Primal Beast,Batrider,Marci,Lich,Tiny,Leshrac,Lifestealer,Enchantress,Lina,Kunkka,Ursa,Beastmaster,Zeus,Disruptor,Nyx Assassin,Monkey King,Lycan,Razor,Broodmother,Bloodseeker,Dawnbreaker,Death Prophet
The International 11 Playoff,Game 1: 6813739089,Shopify Rebellion,Thunder Awaken,The Dire,The Radiant,,1st Pick,THUNDER,Primal Beast,Enigma,Broodmother,Dawnbreaker,Tiny,Shadow Fiend,Sven,Zeus,Storm Spirit,Venomancer,Ember Spirit,Snapfire,Templar Assassin,Pudge,Invoker,Crystal Maiden,Pangolier,Silencer,Viper,Morphling,Doom,Faceless Void,Bloodseeker,Tidehunter
The International 11 Playoff,Game 2: 6813782414,Shopify Rebellion,Thunder Awaken,The Dire,The Radiant,1st Pick,,THUNDER,Enigma,Broodmother,Crystal Maiden,Primal Beast,Marci,Tiny,Dawnbreaker,Shadow Fiend,Zeus,Silencer,Hoodwink,Invoker,Undying,Ember Spirit,Lich,Razor,Clockwerk,Morphling,Batrider,Ancient Apparition,Storm Spirit,Void Spirit,Pangolier,Lion
,Game 1: 6811142966,Talon,Entity,The Radiant,The Dire,1st Pick,,Entity,Visage,Doom,Broodmother,Lina,Marci,Nyx Assassin,Leshrac,Shadow Fiend,Naga Siren,Disruptor,Batrider,Pangolier,Beastmaster,Rubick,Jakiro,Pudge,Undying,Morphling,Viper,Hoodwink,Enigma,Skywrath Mage,Ancient Apparition,Lycan
,Game 2: 6811221669,Talon,Entity,The Dire,The Radiant,,1st Pick,Entity,Lina,Broodmother,Doom,Nyx Assassin,Marci,Dawnbreaker,Leshrac,Visage,Undying,Morphling,Batrider,Luna,Drow Ranger,Silencer,Earthshaker,Sven,Pudge,Terrorblade,Razor,Zeus,Enchantress,Arc Warden,Ancient Apparition,Witch Doctor
,Game 1: 6811140084,BOOM Esports,BetBoom Team,The Radiant,The Dire,,1st Pick,BOOM,Tiny,Nature's Prophet,Primal Beast,Leshrac,Marci,Enigma,Tusk,Sniper,Ember Spirit,Silencer,Batrider,Beastmaster,Kunkka,Visage,Disruptor,Pangolier,Mars,Faceless Void,Storm Spirit,Winter Wyvern,Invoker,Phoenix,Chen,Zeus
