team,first_pick,side,bans,picks
Thunder Awaken,True,The Dire,"['Tiny', 'Dawnbreaker', 'Pudge', 'Zeus', 'Lifestealer', 'Spectre', 'Ursa']","['Marci', 'Leshrac', 'Disruptor', 'Drow Ranger', 'Earth Spirit']"
Team Secret,True,The Dire,"['Primal Beast', 'Chen', 'Storm Spirit', 'Templar Assassin', 'Monkey King', 'Enigma', 'Viper']","['Nyx Assassin', 'Zeus', 'Crystal Maiden', 'Tidehunter', 'Slark']"
Thunder Awaken,True,The Radiant,"['Primal Beast', 'Chen', 'Storm Spirit', 'Templar Assassin', 'Monkey King', 'Enigma', 'Viper']","['Nyx Assassin', 'Zeus', 'Crystal Maiden', 'Tidehunter', 'Slark']"
Team Liquid,True,The Dire,"['Primal Beast', 'Marci', 'Lone Druid', 'Tusk', 'Undying', 'Venomancer', 'Jakiro']","['Tiny', 'Arc Warden', 'Crystal Maiden', 'Naga Siren', 'Slardar']"
Entity,True,The Radiant,"['Primal Beast', 'Marci', 'Lone Druid', 'Tusk', 'Undying', 'Venomancer', 'Jakiro']","['Tiny', 'Arc Warden', 'Crystal Maiden', 'Naga Siren', 'Slardar']"
Team Liquid,True,The Radiant,"['Primal Beast', 'Marci', 'Crystal Maiden', 'Ancient Apparition', 'Faceless Void', 'Mars', 'Jakiro']","['Leshrac', 'Undying', 'Sniper', 'Tiny', 'Clockwerk']"
Entity,True,The Dire,"['Primal Beast', 'Marci', 'Crystal Maiden', 'Ancient Apparition', 'Faceless Void', 'Mars', 'Jakiro']","['Leshrac', 'Undying', 'Sniper', 'Tiny', 'Clockwerk']"
Team Liquid,True,The Radiant,"['Primal Beast', 'Marci', 'Naga Siren', 'Pangolier', 'Ursa', 'Shadow Fiend', 'Queen of Pain']","['Tiny', 'Broodmother', 'Pudge', 'Jakiro', 'Puck']"
Entity,True,The Dire,"['Primal Beast', 'Marci', 'Naga Siren', 'Pangolier', 'Ursa', 'Shadow Fiend', 'Queen of Pain']","['Tiny', 'Broodmother', 'Pudge', 'Jakiro', 'Puck']"
OG,True,The Radiant,"['Timbersaw', 'Razor', 'Sniper', 'Morphling', 'Mars', 'Faceless Void', 'Templar Assassin']","['Enchantress', 'Shadow Fiend', 'Tiny', 'Silencer', 'Underlord']"
Gaimin Gladiators,True,The Dire,"['Timbersaw', 'Razor', 'Sniper', 'Morphling', 'Mars', 'Faceless Void', 'Templar Assassin']","['Enchantress', 'Shadow Fiend', 'Tiny', 'Silencer', 'Underlord']"
